Property_ID,Block_ID,Neighborhood,District_Zone,URL,SQM,Energy_Class,Price,Price_per_SQM,Investment_Score,Recommended_Action,Investment_Strategy,Target_Price,Expected_ROI_24m,Tourism_Score,Commercial_Score,Metro_Distance,Overall_Risk
SYN-001-000,SYN-001,Syntagma Square East,HISTORIC,https://spitogatos.gr/property/syn-001-0,75,A+,390000,5200.0,9.775,IMMEDIATE_BUY,TOURISM_RENTAL,382200,0.32399999999999995,10.0,9.5,150,MEDIUM
PLA-001-000,PLA-001,Plaka Central,HISTORIC,https://spitogatos.gr/property/pla-001-0,75,A+,312000,4160.0,9.775,IMMEDIATE_BUY,TOURISM_RENTAL,305760,0.32399999999999995,10.0,8.0,200,MEDIUM
SYN-001-001,SYN-001,Syntagma Square East,HISTORIC,https://spitogatos.gr/property/syn-001-1,78,A,420810,5395.0,9.57,IMMEDIATE_BUY,TOURISM_RENTAL,412393,0.31399999999999995,10.0,9.5,150,MEDIUM
PLA-001-001,PLA-001,Plaka Central,HISTORIC,https://spitogatos.gr/property/pla-001-1,78,A,336648,4316.0,9.57,IMMEDIATE_BUY,TOURISM_RENTAL,329915,0.31399999999999995,10.0,8.0,200,MEDIUM
SYN-002-000,SYN-002,Syntagma Square West,COMMERCIAL,https://spitogatos.gr/property/syn-002-0,75,A+,348000,4640.0,9.475000000000001,IMMEDIATE_BUY,TOURISM_RENTAL,341040,0.312,9.5,10.0,150,MEDIUM
MON-001-000,MON-001,Monastiraki Square,COMMERCIAL,https://spitogatos.gr/property/mon-001-0,75,A+,270000,3600.0,9.475000000000001,IMMEDIATE_BUY,TOURISM_RENTAL,264600,0.312,8.5,9.0,200,MEDIUM
PLA-002-000,PLA-002,Plaka North,HISTORIC,https://spitogatos.gr/property/pla-002-0,75,A+,288000,3840.0,9.475,IMMEDIATE_BUY,TOURISM_RENTAL,282240,0.32399999999999995,9.0,7.5,200,MEDIUM
SYN-001-002,SYN-001,Syntagma Square East,HISTORIC,https://spitogatos.gr/property/syn-001-2,81,B+,452790,5590.0,9.365,IMMEDIATE_BUY,TOURISM_RENTAL,443734,0.304,10.0,9.5,150,MEDIUM
PLA-001-002,PLA-001,Plaka Central,HISTORIC,https://spitogatos.gr/property/pla-001-2,81,B+,362232,4472.0,9.365,IMMEDIATE_BUY,TOURISM_RENTAL,354987,0.304,10.0,8.0,200,MEDIUM
SYN-001-007,SYN-001,Syntagma Square East,HISTORIC,https://spitogatos.gr/property/syn-001-7,96,A+,630240,6565.0,9.290000000000001,IMMEDIATE_BUY,TOURISM_RENTAL,617635,0.32399999999999995,10.0,9.5,150,MEDIUM
PLA-001-007,PLA-001,Plaka Central,HISTORIC,https://spitogatos.gr/property/pla-001-7,96,A+,504192,5252.0,9.290000000000001,IMMEDIATE_BUY,TOURISM_RENTAL,494108,0.32399999999999995,10.0,8.0,200,MEDIUM
SYN-002-001,SYN-002,Syntagma Square West,COMMERCIAL,https://spitogatos.gr/property/syn-002-1,78,A,375492,4814.0,9.27,IMMEDIATE_BUY,TOURISM_RENTAL,367982,0.302,9.5,10.0,150,MEDIUM
PLA-002-001,PLA-002,Plaka North,HISTORIC,https://spitogatos.gr/property/pla-002-1,78,A,310752,3984.0,9.27,IMMEDIATE_BUY,TOURISM_RENTAL,304536,0.31399999999999995,9.0,7.5,200,MEDIUM
MON-001-001,MON-001,Monastiraki Square,COMMERCIAL,https://spitogatos.gr/property/mon-001-1,78,A,291330,3735.0,9.27,IMMEDIATE_BUY,TOURISM_RENTAL,285503,0.302,8.5,9.0,200,MEDIUM
