Property_Number,URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Rooms,Title,Property_Type,Listing_Type,Confidence,Validation_Flags,Timestamp,Property_ID,Description
1,"https://www.spitogatos.gr/en/property/1117522955",9800000.0,465.0,"A",21075,"Athens Center",1,"Sale; Detached house; 465m² Athens - Center; Historic Center | 17522955 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:45","613857b11154","Make this property yours with a mortgage starting from "
2,"https://www.spitogatos.gr/en/property/1117515425",2650000.0,246.0,"B",10772,"Athens Center",1,"Sale; Detached house; 246m² Athens - Center; Historic Center | 17515425 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:28","abccf9fd4de9","Make this property yours with a mortgage starting from "
3,"https://www.spitogatos.gr/en/property/1117002630",2000000.0,300.0,"C",6667,"Plaka",1,"Sale; Maisonette; 300m² Historic Center; Plaka | 17002630 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:49","d15454df5eed","Make this property yours with a mortgage starting from "
4,"https://www.spitogatos.gr/en/property/1117053990",1850000.0,340.0,"B",5441,"Kolonaki",4,"Sale; Apartment; 340m² Kolonaki - Lykavittos; Kolonaki | 17053990 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:46:55","79910b499d5f","Make this property yours with a mortgage starting from "
5,"https://www.spitogatos.gr/en/property/1116349256",1390000.0,165.0,"C",8424,"Athens Center",4,"Sale; Apartment; 165m² Ilisia; Hilton | 16349256 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:32","e09706d3e118","Make this property yours with a mortgage starting from "
6,"https://www.spitogatos.gr/en/property/1117897704",1250000.0,116.0,"F",10776,"Kolonaki",2,"Sale; Apartment; 116m² Kolonaki - Lykavittos; Kolonaki | 17897704 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:29","d67c1d36f541","Make this property yours with a mortgage starting from "
7,"https://www.spitogatos.gr/en/property/1117953428",1180000.0,295.0,"A",4000,"Kolonaki",1,"Sale; Apartment; 295m² Kolonaki - Lykavittos; Kolonaki | 17953428 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:15","76a0d420aec1","Make this property yours with a mortgage starting from "
8,"https://www.spitogatos.gr/en/property/1116863838",1000000.0,262.0,"C",3817,"Exarchia",1,"Sale; Detached house; 262m² Exarchia - Neapoli; Neapoli Exarcheion | 16863838 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:48","d238e4b2054d","Make this property yours with a mortgage starting from "
9,"https://www.spitogatos.gr/en/property/1117161519",980000.0,112.0,"C",8750,"Kolonaki",1,"Sale; Apartment; 112m² Kolonaki - Lykavittos; Kolonaki | 17161519 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:19","e851c6a8a89d","Make this property yours with a mortgage starting from "
10,"https://www.spitogatos.gr/en/property/1118047438",950000.0,150.0,"D",6333,"Kolonaki",2,"Sale; Apartment; 150m² Kolonaki - Lykavittos; Kolonaki | 18047438 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:02","00c7073b8a69","Make this property yours with a mortgage starting from "
