property_id,url,title,neighborhood,price,sqm,price_per_sqm,energy_class,rooms,source_dataset,value_score,value_rating,energy_efficiency_score,size_score,location_score,overall_investment_score,investment_category
445db2230a3b,https://www.spitogatos.gr/en/property/1117370494,"Sale, Apartment, 100m² Patision - Acharnon, Plateia Amerikis | 17370494 | Spitogatos",Syntagma,115000.0,100.0,1150.0,A,2,Parallel Batch Results,Excellent,5,5,4,5,4.8,Premium Opportunity
3275a189501c,https://www.spitogatos.gr/en/property/1116584022,"Sale, Apartment, 67m² Athens - Center, Kipseli | 16584022 | Spitogatos",Exarchia,130000.0,67.0,1940.2985074626865,B,1,Proven Collector Results,Excellent,5,4,5,4,4.5,Premium Opportunity
4b47b8e6b0bd,https://www.spitogatos.gr/en/property/1117993861,"Sale, Apartment, 47m² Athens - Center, Gazi - Metaxourgio - Votanikos | 17993861 | Spitogatos",Exarchia,80000.0,47.0,1702.127659574468,B,1,Scalable Collector Results,Excellent,5,4,5,4,4.5,Premium Opportunity
a42ac91f7a7f,https://www.spitogatos.gr/en/property/1115110584,"Sale, Apartment, 102m² Patision - Acharnon, Plateia Amerikis | 15110584 | Spitogatos",Exarchia,160000.0,102.0,1568.6274509803923,A,1,Parallel Batch Results,Excellent,5,5,4,4,4.5,Premium Opportunity
85d9e81677ad,https://www.spitogatos.gr/en/property/1116801043,"Sale, Apartment, 71m² Attiki, Platia Attikis | 16801043 | Spitogatos",Syntagma,140000.0,71.0,1971.8309859154929,D,2,Scalable Collector Results,Excellent,5,2,5,5,4.4,Premium Opportunity
36093eb9d3c4,https://www.spitogatos.gr/en/property/1117081187,"Sale, Apartment, 63m² Ampelokipoi - Pentagon, Erithros | 17081187 | Spitogatos",Syntagma,180000.0,63.0,2857.1428571428573,A,2,Parallel Batch Results,Good,3,5,5,5,4.4,Premium Opportunity
18bdf7231160,https://www.spitogatos.gr/en/property/1117447571,"Sale, Apartment, 71m² Attiki, Platia Attikis | 17447571 | Spitogatos",Exarchia,130000.0,71.0,1830.9859154929577,C,1,Parallel Batch Results,Excellent,5,3,5,4,4.3,Premium Opportunity
df94109df5ed,https://www.spitogatos.gr/en/property/1117980770,"Sale, Apartment, 62m² Gizi - Pedion Areos, Lofos Finopoulou | 17980770 | Spitogatos",Exarchia,120000.0,62.0,1935.483870967742,C,1,Scalable Collector Results,Excellent,5,3,5,4,4.3,Premium Opportunity
ff2e8f878f52,https://www.spitogatos.gr/en/property/1116810667,"Sale, Apartment, 95m² Athens - Center, Patision - Acharnon | 16810667 | Spitogatos",Syntagma,220000.0,95.0,2315.7894736842104,B,1,Scalable Collector Results,Very Good,4,4,4,5,4.3,Premium Opportunity
c0f43c2fdcc0,https://www.spitogatos.gr/en/property/1117677094,"Sale, Apartment, 58m² Neos Kosmos, Center | 17677094 | Spitogatos",Exarchia,100000.0,58.0,1724.1379310344828,C,1,Scalable Collector Results,Excellent,5,3,5,4,4.3,Premium Opportunity
b9752605172b,https://www.spitogatos.gr/en/property/1116800081,"Sale, Apartment, 68m² Athens - Center, Pagkrati | 16800081 | Spitogatos",Syntagma,143000.0,68.0,2102.9411764705883,C,2,Scalable Collector Results,Very Good,4,3,5,5,4.3,Premium Opportunity
19664d840c2e,https://www.spitogatos.gr/en/property/1117999007,"Sale, Apartment, 48m² Athens - Center, Attiki | 17999007 | Spitogatos",Exarchia,84000.0,48.0,1750.0,C,1,Scalable Collector Results,Excellent,5,3,5,4,4.3,Premium Opportunity
e34ead2902e4,https://www.spitogatos.gr/en/property/1118027188,"Sale, Apartment, 71m² Athens - Center, Sepolia - Skouze | 18027188 | Spitogatos",Exarchia,99000.0,71.0,1394.3661971830986,C,2,Parallel Batch Results,Excellent,5,3,5,4,4.3,Premium Opportunity
0c2db8cb8ddd,https://www.spitogatos.gr/en/property/1117858511,"Sale, Apartment, 50m² Athens - Center, Ano Patisia | 17858511 | Spitogatos",Exarchia,120000.0,50.0,2400.0,B,1,Scalable Collector Results,Very Good,4,4,5,4,4.2,Premium Opportunity
25ff42604909,https://www.spitogatos.gr/en/property/1117949105,"Sale, Apartment, 65m² Athens - Center, Neos Kosmos | 17949105 | Spitogatos",Exarchia,150000.0,65.0,2307.6923076923076,B,1,Scalable Collector Results,Very Good,4,4,5,4,4.2,Premium Opportunity
