Property_ID,URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Property_Type,Rooms,Data_Source,Confidence
"56e2cedf0d75","https://www.spitogatos.gr/en/property/1117828519",70000.0,38.0,"D",1842,"Kipseli","apartment","1","Original Dataset",0.90
"f0a37cab367d","https://www.spitogatos.gr/en/property/1117931915",377000.0,98.0,"A",3847,"Athens Center","apartment","1","Original Dataset",0.90
"79910b499d5f","https://www.spitogatos.gr/en/property/1117053990",1850000.0,340.0,"B",5441,"Kolonaki","apartment","4","Original Dataset",0.90
"a6696c7908f1","https://www.spitogatos.gr/en/property/1117246803",295000.0,102.0,"C",2892,"Athens Center","apartment","3","Original Dataset",0.90
"00c7073b8a69","https://www.spitogatos.gr/en/property/1118047438",950000.0,150.0,"D",6333,"Kolonaki","apartment","2","Original Dataset",0.90
"712fce2c776c","https://www.spitogatos.gr/en/property/1117303634",395000.0,56.0,"B",7054,"Athens Center","apartment","1","Original Dataset",0.90
"6972532cb8cb","https://www.spitogatos.gr/en/property/1117482555",140000.0,62.0,"D",2258,"Athens Center","apartment","1","Original Dataset",0.90
"9dd11aa01ad5","https://www.spitogatos.gr/en/property/1117131266",265000.0,68.0,"A",3897,"Athens Center","apartment","1","Original Dataset",0.90
"722a0e0a1e8a","https://www.spitogatos.gr/en/property/1117349380",175000.0,50.0,"F",3500,"Koukaki","apartment","1","Original Dataset",0.90
"bd560b9c2a8c","https://www.spitogatos.gr/en/property/1117952031",120000.0,78.0,"D",1538,"Athens Center","apartment","2","Original Dataset",0.90
"68c234d603b9","https://www.spitogatos.gr/en/property/1118038090",115000.0,60.0,"D",1917,"Athens Center","apartment","1","Original Dataset",0.90
"87400a90d5bc","https://www.spitogatos.gr/en/property/1117453190",390000.0,64.0,"C",6094,"Kolonaki","apartment","1","Original Dataset",0.90
"8c236e3100d2","https://www.spitogatos.gr/en/property/1117558960",199000.0,46.0,"C",4326,"Exarchia","apartment","1","Original Dataset",0.90
"20c4f7b703f0","https://www.spitogatos.gr/en/property/1117303265",275000.0,56.0,"C",4911,"Athens Center","apartment","1","Original Dataset",0.90
"90781c77a60d","https://www.spitogatos.gr/en/property/1115537516",695000.0,175.0,"C",3971,"Kolonaki","apartment","1","Original Dataset",0.90
"ba5eca93fa8f","https://www.spitogatos.gr/en/property/1117726813",115000.0,50.0,"A",2300,"Athens Center","apartment","1","Original Dataset",0.90
"42ea3f647341","https://www.spitogatos.gr/en/property/1117818215",139000.0,88.0,"D",1580,"Athens Center","apartment","2","Original Dataset",0.90
"613857b11154","https://www.spitogatos.gr/en/property/1117522955",9800000.0,465.0,"A",21075,"Athens Center","apartment","1","Original Dataset",0.90
"d15454df5eed","https://www.spitogatos.gr/en/property/1117002630",2000000.0,300.0,"C",6667,"Plaka","apartment","1","Original Dataset",0.90
"8ba8c588c89f","https://www.spitogatos.gr/en/property/1117364353",195000.0,70.0,"D",2786,"Athens Center","apartment","2","Original Dataset",0.90
"949a9ae4e526","https://www.spitogatos.gr/en/property/1117657336",158000.0,70.0,"D",2257,"Athens Center","apartment","2","Original Dataset",0.90
"12f78e13e825","https://www.spitogatos.gr/en/property/1116669206",298000.0,113.0,"A",2637,"Ampelokipoi","apartment","1","Original Dataset",0.90
"e851c9c59566","https://www.spitogatos.gr/en/property/1117690666",245000.0,110.0,"C",2227,"Athens Center","apartment","3","Original Dataset",0.90
"d69cd0fee103","https://www.spitogatos.gr/en/property/1116064024",240000.0,114.0,"D",2105,"Kipseli","apartment","1","Original Dataset",0.90
"27ebcb88c3a9","https://www.spitogatos.gr/en/property/1117188200",200000.0,181.0,"C",1105,"Athens Center","apartment","2","Original Dataset",0.90
"0042fd76d90c","https://www.spitogatos.gr/en/property/1117244783",147000.0,62.0,"B",2371,"Athens Center","apartment","1","Original Dataset",0.90
"392dfe044eb7","https://www.spitogatos.gr/en/property/1117735051",310000.0,134.0,"D",2313,"Athens Center","apartment","3","Original Dataset",0.90
"02953f3e63c3","https://www.spitogatos.gr/en/property/1116864045",650000.0,135.0,"C",4815,"Koukaki","apartment","3","Original Dataset",0.90
"2f1920caa295","https://www.spitogatos.gr/en/property/1117915593",160000.0,69.0,"C",2319,"Ampelokipoi","apartment","2","Original Dataset",0.90
"bd52023029d4","https://www.spitogatos.gr/en/property/1117798407",500000.0,97.0,"A",5155,"Koukaki","apartment","1","Original Dataset",0.90
